Estado	Prefijo	Desde	Hasta	Cantidad
DTTO. CAPITAL	DC	1	28258	28258
EDO. ANZOATEGUI	EA	28259	47314	19056
EDO. APURE	EA	47315	53603	6289
EDO. ARAGUA	EA	53604	74780	21177
EDO. BARINAS	EB	74781	85014	10234
EDO. BOLIVAR	EB	85015	102599	17585
EDO. CARABOBO	EC	102600	130051	27452
EDO. COJEDES	EC	130052	134592	4541
EDO. FALCON	EF	134593	146591	11999
EDO. GUARICO	EG	146592	155868	9277
EDO. LARA	EL	155869	178225	22357
EDO. MERIDA	EM	178226	188933	10708
EDO. MIRANDA	EM	188934	225858	36925
EDO. MONAGAS	EM	225859	237138	11280
EDO.NVA.ESPARTA	ESP	237139	243614	6476
EDO. PORTUGUESA	POR	243615	254744	11130
EDO. SUCRE	ES	254745	266393	11649
EDO. TACHIRA	ET	266394	281088	14695
EDO. TRUJILLO	ET	281089	290332	9244
EDO. YARACUY	EY	290333	298163	7831
EDO. ZULIA	EZ	298164	341129	42966
EDO. AMAZONAS	EA	341130	343085	1956
EDO. DELTA AMAC	EDA	343086	345242	2157
EDO. LA GUAIRA	ELG	345243	350397	5155
