Estado	Prefijo	Desde	Hasta	Cantidad
DTTO. CAPITAL	DC	1	28000	28000
EDO. ANZOATEGUI	ANZ	28001	45500	17500
EDO. APURE	APU	45501	52500	7000
EDO. ARAGUA	ARA	52501	73500	21000
EDO. BARINAS	BAR	73501	84000	10500
EDO. BOLIVAR	BOL	84001	101500	17500
EDO. CARABOBO	CAR	101501	129500	28000
EDO. COJEDES	COJ	129501	133000	3500
EDO. FALCON	FAL	133001	143500	10500
EDO. GUARICO	GUA	143501	154000	10500
EDO. LARA	LAR	154001	175000	21000
EDO. MERIDA	MER	175001	185500	10500
EDO. MIRANDA	MIR	185501	224000	38500
EDO. MONAGAS	MON	224001	234500	10500
EDO. NUEVA ESPARTA	ESP	234501	241500	7000
EDO. PORTUGUESA	POR	241501	252000	10500
EDO. SUCRE	SUC	252001	262500	10500
EDO. TACHIRA	TAC	262501	276500	14000
EDO. TRUJILLO	TRU	276501	287000	10500
EDO. YARACUY	YAR	287001	294000	7000
EDO. ZULIA	ZUL	294001	336000	42000
EDO. AMAZONAS	AMA	336001	339500	3500
EDO. DELTA AMACURO	EDA	339501	343000	3500
EDO. LA GUAIRA	ELG	343001	350000	7000
