cod_estado;cod_municipio;poblacion
1;1;1.687.037
2;1;96.737
2;2;23.768
2;3;299.791
2;4;23.230
2;5;10.709
2;6;60.516
2;7;27.063
2;8;14.776
2;9;38.741
2;10;16.189
2;11;24.918
2;12;130.082
2;13;183.705
2;14;60.859
2;15;30.339
2;16;22.731
2;17;36.115
2;18;11.719
2;19;9.243
2;20;8.117
2;21;8.317
3;1;45.080
3;2;25.592
3;3;83.291
3;4;24.161
3;5;21.053
3;6;131.662
3;7;44.641
4;1;336.641
4;2;148.855
4;3;112.966
4;4;19.965
4;5;18.073
4;6;90.200
4;7;16.676
4;8;99.550
4;9;75.846
4;10;26.600
4;11;30.795
4;12;27.128
4;13;90.826
4;14;16.085
4;15;13.062
4;16;35.619
4;17;94.734
4;18;10.666
5;1;19.619
5;2;258.329
5;3;39.655
5;4;43.427
5;5;27.988
5;6;49.491
5;7;30.104
5;8;19.338
5;9;32.052
5;10;56.937
5;11;21.068
5;12;13.017
6;1;501.314
6;2;47.952
6;3;248.107
6;4;79.500
6;5;21.156
6;6;18.609
6;7;38.894
6;8;29.708
6;9;31.972
6;10;20.239
6;11;12.387
7;1;36.761
7;2;104.916
7;3;71.297
7;4;129.565
7;5;18.725
7;6;52.483
7;7;148.244
7;8;44.679
7;9;604.609
7;10;21.842
7;11;104.789
7;12;105.861
7;13;71.544
7;14;123.598
8;1;14.319
8;2;77.077
8;3;10.777
8;4;14.632
8;5;12.317
8;6;87.113
8;7;28.043
8;8;9.376
8;9;17.482
9;1;14.419
9;2;6.975
9;3;18.222
9;4;179.087
9;5;31.240
9;6;9.372
9;7;39.130
9;8;22.518
9;9;19.780
9;10;161.974
9;11;10.699
9;12;27.511
9;13;25.520
9;14;19.359
9;15;16.994
9;16;39.327
9;17;9.070
9;18;12.375
9;19;9.905
9;20;9.284
9;21;9.681
9;22;4.559
9;23;5.782
9;24;7.586
9;25;6.018
10;1;85.529
10;2;21.124
10;3;98.054
10;4;53.992
10;5;28.862
10;6;99.786
10;7;43.724
10;8;19.546
10;9;9.021
10;10;24.140
10;11;14.735
10;12;16.786
10;13;11.480
10;14;11.158
10;15;15.875
11;1;38.752
11;2;760.955
11;3;73.883
11;4;94.238
11;5;115.782
11;6;138.741
11;7;46.523
11;8;34.420
11;9;31.486
12;1;97.299
12;2;11.608
12;3;10.062
12;4;71.467
12;5;6.876
12;6;13.548
12;7;4.952
12;8;179.842
12;9;13.281
12;10;16.169
12;11;19.036
12;12;22.067
12;13;19.628
12;14;7.978
12;15;8.258
12;16;13.661
12;17;14.364
12;18;38.863
12;19;28.906
12;20;25.677
12;21;2.937
12;22;4.209
12;23;8.548
13;1;59.651
13;2;47.805
13;3;205.793
13;4;103.061
13;5;112.649
13;6;29.883
13;7;76.067
13;8;158.982
13;9;500.084
13;10;101.774
13;11;137.605
13;12;97.158
13;13;58.520
13;14;17.048
13;15;33.280
13;16;240.379
13;17;42.952
13;18;87.369
13;19;57.798
13;20;18.556
13;21;18.163
14;1;16.318
14;2;29.356
14;3;25.935
14;4;27.972
14;5;45.487
14;6;34.952
14;7;387.594
14;8;34.790
14;9;23.166
14;10;19.286
14;11;10.916
14;12;9.063
14;13;8.636
15;1;24.355
15;2;49.311
15;3;30.008
15;4;40.599
15;5;30.377
15;6;88.621
15;7;20.495
15;8;7.686
15;9;25.695
15;10;24.017
15;11;45.435
16;1;106.422
16;2;31.825
16;3;148.548
16;4;30.207
16;5;39.563
16;6;128.095
16;7;36.580
16;8;47.547
16;9;19.690
16;10;16.537
16;11;12.941
16;12;19.425
16;13;13.790
16;14;13.336
17;1;34.887
17;2;25.158
17;3;104.315
17;4;16.799
17;5;18.714
17;6;13.479
17;7;43.736
17;8;42.858
17;9;273.485
17;10;27.400
17;11;20.624
17;12;9.124
17;13;19.413
17;14;17.744
17;15;27.696
18;1;39.441
18;2;54.563
18;3;25.570
18;4;78.127
18;5;27.796
18;6;61.495
18;7;10.284
18;8;214.181
18;9;14.571
18;10;23.126
18;11;40.419
18;12;31.632
18;13;14.881
18;14;16.604
18;15;21.147
18;16;40.089
18;17;5.684
18;18;18.474
18;19;31.156
18;20;19.227
18;21;12.442
18;22;7.856
18;23;8.490
18;24;4.343
18;25;7.837
18;26;5.526
18;27;2.732
18;28;32.584
18;29;7.078
19;1;17.429
19;2;68.311
19;3;22.242
19;4;21.935
19;5;46.716
19;6;26.002
19;7;108.187
19;8;21.548
19;9;16.081
19;10;11.929
19;11;15.726
19;12;39.036
19;13;41.157
19;14;23.594
19;15;12.893
19;16;11.788
19;17;5.221
19;18;5.972
19;19;14.952
19;20;21.162
20;1;24.215
20;2;53.344
20;3;46.353
20;4;81.454
20;5;16.546
20;6;17.584
20;7;73.768
20;8;15.847
20;9;12.753
20;10;31.861
20;11;43.525
20;12;15.939
20;13;14.068
20;14;20.255
21;1;60.484
21;2;43.048
21;3;81.930
21;4;142.526
21;5;980.284
21;6;72.203
21;7;72.535
21;8;86.875
21;9;40.103
21;10;54.273
21;11;135.506
21;12;25.900
21;13;64.312
21;14;189.377
21;15;42.039
21;16;75.016
21;17;9.392
21;18;300.419
21;19;28.000
21;20;23.539
21;21;37.398
22;1;87.218
22;2;6.652
22;3;2.379
22;4;2.844
22;5;7.114
22;6;4.930
22;7;5.641
23;1;79.815
23;2;7.308
23;3;18.473
23;4;23.151
24;1;307.765
;;20.919.378
